"",""
"Action","Action"
"Add Child Cmspage","Add Child Cmspage"
"Add Cmspage","Add Cmspage"
"Add Root Cmspage","Add Root Cmspage"
"Add cmspage","Add cmspage"
"Add","Add"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while trying to delete the cmspage.","An error occurred while trying to delete the cmspage."
"An error occurred while updating the cmspages.","An error occurred while updating the cmspages."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Assign category to cmspage","Assign category to cmspage"
"Assign product to cmspage","Assign product to cmspage"
"Associated categories","Associated categories"
"Associated products","Associated products"
"CSV","CSV"
"Can't delete root cmspage.","Can't delete root cmspage."
"Cannot move parent inside cmspage","Cannot move parent inside cmspage"
"Category does not exist.","Category does not exist."
"Change showassociatedcategories","Change showassociatedcategories"
"Change showassociatedproducts","Change showassociatedproducts"
"Change status","Change status"
"Cmspage API","Cmspage API"
"Cmspage Comment","Cmspage Comment"
"Cmspage Comments","Cmspage Comments"
"Cmspage comment","Cmspage comment"
"Cmspage move error","Cmspage move error"
"Cmspage move operation is not possible: parent cmspage is equal to child cmspage.","Cmspage move operation is not possible: parent cmspage is equal to child cmspage."
"Cmspage move operation is not possible: the current cmspage was not found.","Cmspage move operation is not possible: the current cmspage was not found."
"Cmspage move operation is not possible: the new parent cmspage was not found.","Cmspage move operation is not possible: the new parent cmspage was not found."
"Cmspage not moved. Details in error message.","Cmspage not moved. Details in error message."
"Cmspage subtree widget","Cmspage subtree widget"
"Cmspage subtree","Cmspage subtree"
"Cmspage was saved","Cmspage was saved"
"Cmspage was successfully deleted.","Cmspage was successfully deleted."
"Cmspage was successfully saved","Cmspage was successfully saved"
"Cmspage","Cmspage"
"Cmspages","Cmspages"
"Collapse All","Collapse All"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Could not find cmspage to delete.","Could not find cmspage to delete."
"Could not find comment to delete.","Could not find comment to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Data cannot be null","Data cannot be null"
"Delete Cmspage comment","Delete Cmspage comment"
"Delete Cmspage","Delete Cmspage"
"Delete","Delete"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Cmspage '%s'","Edit Cmspage '%s'"
"Edit Cmspage comment '%s'","Edit Cmspage comment '%s'"
"Edit","Edit"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving cmspage","Error saving cmspage"
"Error while removing cmspage. Details in error message.","Error while removing cmspage. Details in error message."
"Error while saving cmspage. Details in error message.","Error while saving cmspage. Details in error message."
"Excel","Excel"
"Expand All","Expand All"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Info","Info"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Levels to show (0 for all)","Levels to show (0 for all)"
"List","List"
"Manage Cmspages","Manage Cmspages"
"Meta description for cmspages list page","Meta description for cmspages list page"
"Meta information","Meta information"
"Meta keywords for cmspages list page","Meta keywords for cmspages list page"
"Meta title for cmspages list page","Meta title for cmspages list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"Move cmspage in tree","Move cmspage in tree"
"My Cmspage Comments","My Cmspage Comments"
"My Cmspages comment view","My Cmspages comment view"
"New Cmspage","New Cmspage"
"New Root Cmspage","New Root Cmspage"
"No","No"
"None","None"
